Origin,human_sentence_ids,keep_k
ID0002,"1, 2, 4, 6, 11",5
ID0003,"1, 2, 4, 5, 6",5
ID0007,"2, 3, 4, 5, 7",5
ID0009,"2, 3, 4, 5, 6",5
ID0010,"1, 7",2
ID0013,"1, 2, 3, 6, 7",5
ID0015,"1, 2, 4, 6",4
ID0016,"1, 3",2
ID0017,"1, 2, 3, 4",4
ID0018,"1, 2, 5, 6, 7, 8, 9, 11, 12",9
ID0021,"1, 2, 4, 5, 6, 8, 9, 10, 11",9
ID0024,4,1
ID0025,"1, 3, 4, 5",4
ID0027,"1, 6",2
ID0028,"1, 2, 3, 5, 6",5
ID0029,"1, 2, 3, 4, 5, 9, 11, 12",8
ID0030,"2, 3, 5, 11",4
ID0032,"1, 2, 5, 6",4
ID0034,"1, 3, 4, 5, 6, 7, 10",7
ID0039,"1, 2, 3",3
ID0041,"1, 2, 4, 8, 13, 14",6
ID0042,"1, 2, 3, 5, 6, 7, 8",7
ID0043,"1, 2, 4, 5, 7",5
ID0044,"1, 2, 6, 8, 9, 12, 13",7
ID0045,2,1
ID0046,"1, 2, 3, 4, 8, 9, 10, 11, 12, 13, 14",11
ID0047,"1, 2, 4, 5, 6, 8",6
ID0048,"2, 3",2
ID0049,"1, 2, 3, 4, 6, 7, 8, 9, 10, 12",10
ID0052,"1, 2, 4, 5",4
ID0053,"1, 6, 7",3
ID0054,"1, 2, 3, 4, 7, 9, 11",7
ID0055,"1, 3, 4, 6, 7, 11",6
ID0056,"1, 4",2
ID0057,"2, 4",2
ID0059,"2, 7",2
ID0060,"1, 2, 4, 6",4
ID0062,"1, 2, 4, 6",4
ID0063,"2, 4, 5",3
ID0064,"1, 2",2
ID0067,"2, 3",2
ID0069,"1, 6, 9, 10, 11",5
ID0071,1,1
ID0072,"1, 3, 5, 8, 10, 11, 12, 13",8
ID0073,"1, 2, 8",3
ID0074,"1, 2, 5, 6, 7, 8, 9",7
ID0076,"1, 2, 7",3
ID0078,"1, 2, 4, 7, 8, 9, 10, 11, 12, 13",10
ID0079,"6, 7, 8, 9, 14, 15",6
ID0081,"1, 4, 6, 7",4
ID0082,"1, 2, 3, 4, 5",5
ID0085,"1, 4",2
ID0086,"1, 2, 4, 8, 9",5
ID0088,"1, 2, 4, 7, 10, 11, 14, 15, 16",9
ID0089,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",12
ID0092,"6, 7",2
ID0093,"1, 3, 4, 6, 9, 10",6
ID0094,"1, 2, 3, 4, 5, 6, 8, 9, 10",9
ID0096,"1, 4, 5",3
ID0097,"1, 2, 3, 4, 5, 6",6
ID0098,"1, 2, 10, 11, 12, 14",6
ID0099,"2, 5, 8, 9, 10",5
ID0101,"1, 2, 3, 5",4
ID0102,"6, 9, 10",3
ID0106,"1, 2, 3, 6, 7, 8",6
ID0108,"1, 2, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16",12
ID0109,"1, 2, 4, 5, 7, 10, 11, 12",8
ID0110,"1, 2, 3, 4, 5, 6, 7, 10, 11",9
ID0111,"1, 2, 3, 6, 7, 10, 11",7
ID0112,"1, 4, 5",3
ID0113,"1, 6, 7, 10, 13",5
ID0115,"1, 5, 10, 15",4
ID0116,"1, 2, 4, 6, 8, 9, 10, 11",8
ID0117,"1, 2, 9, 10",4
ID0119,"1, 2, 3, 5",4
ID0122,3,1
ID0124,"1, 2, 3, 7, 9, 10, 12, 13",8
ID0125,"1, 9, 10, 12, 13",5
ID0127,"1, 2, 6, 7, 10, 11, 12, 13",8
ID0129,"1, 2, 4, 5, 6",5
ID0130,"1, 5, 6, 7",4
ID0133,"1, 3",2
ID0135,"1, 2, 3, 4, 5",5
ID0136,"1, 3, 5, 6, 7, 8, 9, 10",8
ID0137,"1, 3",2
ID0140,"1, 2, 5",3
ID0141,"2, 3",2
ID0142,"2, 5, 8, 9, 11",5
ID0144,"1, 2, 3, 4, 12",5
ID0146,"2, 3, 8",3
ID0147,"1, 2, 3, 4, 5, 6",6
ID0148,"1, 4, 6, 7",4
ID0149,"6, 9, 10",3
ID0150,"1, 2, 3, 4, 7, 8, 9, 10, 11, 13, 15",11
ID0151,"1, 3, 4",3
ID0152,"1, 2, 5",3
ID0153,"1, 7",2
ID0154,"1, 4, 6, 9, 10, 12",6
ID0155,"1, 3, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16",12
ID0157,"1, 2, 3, 4, 6, 8, 9",7
ID0161,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18",16
ID0162,"1, 2, 8, 10",4
ID0163,"1, 7, 8",3
ID0164,"2, 3",2
ID0165,"3, 9",2
ID0166,"1, 2, 5",3
ID0168,"1, 2, 5, 6, 7, 8, 9",7
ID0169,"1, 2, 7, 8",4
ID0170,"1, 2, 4, 6",4
ID0172,"1, 2, 5, 6, 7, 8, 10, 11, 12, 14",10
ID0177,"7, 8, 9, 10",4
ID0182,"1, 2, 3, 4, 8",5
ID0184,"1, 3, 4, 5, 12, 14, 15",7
ID0185,"1, 3, 9",3
ID0186,"1, 2, 4, 8, 9, 10, 11, 12, 13, 14, 15",11
ID0189,"1, 2, 8, 9",4
ID0190,"1, 2, 3, 4",4
ID0191,"3, 4, 5, 7, 8, 9, 10",7
ID0192,"1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19",16
ID0193,1,1
ID0195,"1, 4, 5, 8, 10, 12, 18, 19, 20",9
ID0198,"1, 7, 8, 10",4
ID0199,"1, 2, 3, 4, 10, 11, 12, 13, 15",9
ID0200,"1, 5, 6",3
ID0202,"1, 2, 4, 6, 7, 8, 9",7
ID0206,"1, 6, 7, 8, 9",5
ID0207,"2, 4, 5",3
ID0209,"1, 2, 4, 6, 7",5
ID0211,"1, 3, 4, 5, 6",5
ID0213,"8, 9, 10, 12, 14, 15",6
ID0215,"1, 2, 3, 4, 6, 8, 9",7
ID0216,1,1
ID0217,"1, 2, 5, 7",4
ID0219,"1, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17",13
ID0220,"7, 8, 9",3
ID0221,"1, 2, 3, 5, 6, 7",6
ID0222,"1, 3, 5, 6, 7, 9, 10, 12",8
ID0229,"1, 7",2
ID0230,"1, 2, 3, 4, 7, 8, 9, 10",8
ID0232,"1, 12, 14, 16",4
ID0233,"2, 6",2
ID0235,"1, 2, 3, 4, 5, 6, 7, 9",8
ID0236,"1, 2, 7, 8",4
ID0237,"1, 5, 6, 7",4
ID0238,"1, 2, 5, 6, 7, 9, 10",7
ID0240,"1, 2, 3, 4, 5, 6, 7",7
ID0241,"2, 4, 5, 10",4
ID0242,"7, 8, 9, 10, 11, 12",6
ID0243,"1, 2, 3, 10, 12, 13, 16, 18",8
ID0244,"1, 2, 6",3
ID0246,"1, 2, 4, 5, 11, 12, 13, 14, 15, 19, 20",12
ID0247,"7, 8, 9, 10",4
ID0248,"3, 4, 5, 6",4
ID0249,"1, 9",2
ID0251,"1, 3, 4, 6",4
ID0253,"1, 2, 3",3
ID0254,"1, 2, 4, 5, 8, 9, 10, 11",8
ID0256,"1, 2, 4, 5",4
ID0257,"1, 2, 6, 7, 8, 10, 11, 12",8
ID0258,"1, 2, 3, 6, 8, 9",6
ID0262,"1, 2, 3, 5, 6, 8",6
ID0265,"1, 4",2
ID0268,"1, 3, 4, 5, 6, 7, 12, 14",8
ID0270,"1, 2, 5, 7, 8, 9, 10",7
ID0275,"1, 2, 3, 8, 9",5
ID0277,"1, 2, 3, 4, 8, 9, 12, 13, 14, 15",10
ID0278,"1, 2, 4, 5, 6, 8",6
ID0280,"1, 5, 6, 7",4
ID0281,"3, 5, 6",3
ID0283,"1, 2, 7, 11, 12, 14",6
ID0284,"1, 3, 5, 6, 7",5
ID0286,"1, 2, 4, 5, 6, 7, 8, 9, 10",9
ID0287,"1, 2, 3, 6, 7, 8, 10, 12, 17",9
ID0289,"1, 2, 3, 5, 6, 9, 11, 12",8
ID0291,"1, 2, 8",0
ID0292,"1, 3, 4, 6",2
ID0293,"1, 3, 4",3
ID0295,"1, 3, 4, 5, 6, 8",6
ID0296,"1, 3, 4, 5, 6, 14",6
ID0297,"1, 3, 4, 5",4
ID0298,"1, 2, 4",3
ID0300,"1, 2, 3, 4, 5, 6, 9, 10",8
ID0301,"1, 3",2
ID0302,"5, 11, 14, 15",4
ID0303,"1, 4, 7, 8",4
ID0304,"1, 2, 3, 5",4
ID0305,"1, 2, 6, 7, 8",3
ID0307,"1, 3, 8, 11, 12",5
ID0309,"1, 4",2
ID0310,"1, 2, 3, 6, 7, 8, 9, 12",8
ID0313,"1, 2, 6",3
ID0314,"1, 4, 7, 8, 9, 10",6
ID0315,"1, 2, 3, 11, 12",5
ID0317,"1, 2, 3, 4",4
ID0320,"1, 2, 3, 4, 6, 7, 8, 9, 10",9
ID0321,"1, 2, 4, 6, 7, 8, 9",7
ID0323,"1, 2, 7, 8, 12, 13, 15, 19, 20",11
ID0324,"1, 2, 3, 4, 5, 7, 8, 9, 10",9
ID0325,"1, 2, 7, 8",4
ID0326,"1, 4, 7",3
ID0327,"1, 4, 5, 7",4
ID0328,"1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15, 18, 19, 20",20
ID0330,"1, 2, 3",3
ID0331,"1, 2, 3, 4, 6, 8, 9, 10",8
ID0332,"1, 2, 4, 5, 7, 8, 10",7
ID0334,"1, 2, 3, 4, 6, 7, 8, 9, 10",9
ID0336,"1, 4, 5",3
ID0337,"1, 2, 3, 5, 7, 8, 11, 12, 13, 14, 15",11
ID0339,"1, 6, 7",3
ID0342,"1, 4, 7, 8, 9, 10, 12, 13, 14, 15, 16",11
ID0345,"1, 2, 3, 4, 6",5
ID0349,"1, 4",2
ID0351,"2, 4, 5, 7, 8, 14",6
ID0352,"1, 7, 9, 10",4
ID0353,"2, 4, 7, 8",4
ID0356,"1, 7",2
ID0357,"5, 6, 7",3
ID0359,"5, 7",2
ID0360,"1, 2, 5, 7, 8, 9, 10, 11",8
ID0362,"1, 5, 6, 8",4
ID0363,"1, 2, 4, 5, 6, 7",6
ID0364,"1, 2, 3, 4, 5, 6, 8, 9",8
ID0365,"1, 3, 4, 5, 13, 14",6
ID0366,"1, 7, 9, 10, 11",5
ID0367,"1, 2, 4, 6",4
ID0368,"1, 5, 7, 8",4
ID0371,"2, 3, 7, 9, 10",5
ID0373,"1, 5",2
ID0376,"2, 4, 6",3
ID0377,"1, 2, 5, 7",4
ID0379,"1, 3",2
ID0382,"1, 2, 3",3
ID0385,"1, 2, 11",3
ID0387,"1, 2, 5, 7, 8",5
ID0388,"1, 2, 3, 4, 5, 6, 7, 8",8
ID0389,"1, 2, 5, 6, 7, 8, 9, 10",8
ID0391,"1, 2, 3",3
ID0393,"1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15",14
ID0395,"1, 3, 6",3
ID0396,"1, 2, 5",3
ID0397,"1, 6, 8",3
ID0399,"1, 2, 5, 6, 7, 9, 11",7
ID0400,"1, 2, 4, 5, 8, 9, 11, 12, 13, 14",10
ID0402,"1, 6, 7, 8, 9",5
ID0403,"1, 7, 8",3
ID0404,"1, 4, 7, 10",4
ID0405,"1, 4, 6, 8, 9, 10, 12, 13, 14",9
ID0406,"1, 2, 3, 5, 6, 7, 8",7
ID0407,"1, 2, 3, 4, 5, 6",3
ID0409,"1, 2, 3, 6, 7, 8, 9, 10",8
ID0412,"1, 2, 3, 4, 5, 6, 8",7
ID0415,"1, 2, 4, 5, 6, 7, 9, 11, 12",9
ID0416,"1, 3, 4",3
ID0417,"1, 2, 4, 5, 8, 9, 10, 12, 13, 14, 15",11
ID0418,"2, 9, 16, 17, 18",5
ID0421,"1, 4, 6, 7, 8, 9, 12, 14, 15",9
ID0422,"1, 4, 6, 7, 9",5
ID0425,"1, 3, 4, 5, 8, 9",6
ID0426,"1, 2, 3",3
ID0428,"1, 2, 3, 5",4
ID0429,"1, 2, 3, 4, 5, 6",6
ID0431,"1, 2, 8",3
ID0433,"1, 4, 5, 7",4
ID0435,"1, 2, 5",3
ID0437,"2, 3, 4, 5",4
ID0438,"1, 2, 7, 8",4
ID0440,"1, 2, 5, 6, 7",5
ID0442,"1, 5, 6, 7, 8, 12",6
ID0444,"1, 7, 11, 12, 14",5
ID0446,"1, 2, 3, 7, 8, 9, 13, 14, 15, 16, 17, 18, 19, 20",14
ID0447,"1, 2, 3, 6, 8, 9",6
ID0449,"1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14",13
ID0451,"1, 3, 5, 6, 9, 10, 11, 12, 19, 20",11
ID0453,"1, 2, 3, 4, 6, 12, 14",7
ID0455,"1, 2, 4, 5, 6",5
ID0458,"1, 7, 8",2
ID0459,"1, 3",2
ID0460,"1, 2, 3, 6, 7, 9, 10",7
ID0461,"1, 2, 3",3
ID0462,"1, 8",2
ID0463,"1, 2, 3, 4, 5, 6, 8, 10",8
ID0465,"1, 2, 3, 4, 5, 7, 9, 10",8
ID0466,"1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 16",14
ID0467,"1, 6, 7, 13, 16",4
ID0468,"1, 2, 3, 4, 9, 10, 11",7
ID0469,"1, 6, 7, 10",4
ID0470,"1, 2, 3, 8, 11",5
ID0471,"1, 2, 4, 5, 6, 8, 9, 10",8
ID0472,"1, 2, 4, 5, 6, 8, 9, 10, 11",9
ID0473,"1, 2, 4",3
ID0476,"1, 2, 3, 5, 6, 9, 10, 11, 12, 14",10
ID0477,"3, 4, 10",3
ID0478,"1, 2, 3, 4, 5, 6, 7, 13, 14, 15, 17",11
ID0479,"1, 5, 6, 7, 9, 10, 11, 12, 13, 15, 16",11
ID0483,"1, 2, 3, 6, 7, 8, 9, 11, 12",9
ID0484,"1, 2, 3, 4, 5, 6, 10, 11, 12",9
ID0487,"2, 3",2
ID0488,"1, 11, 19, 20",5
ID0490,"1, 3, 4, 8, 9, 11, 14",7
ID0491,"1, 2, 3, 8",4
ID0492,"1, 5, 6, 7, 8, 9, 12",7
ID0494,"1, 3, 4, 5, 6, 7, 9, 10",8
ID0495,"1, 2, 3, 4, 5, 10, 11",7
ID0496,"1, 3, 6",3
ID0498,"1, 4, 7, 9, 10",5
ID0500,"1, 3, 4, 5, 7, 8, 9, 11, 12, 13, 14, 15",12
ID0502,"1, 2, 3, 4, 6, 8, 9, 12",8
ID0503,"1, 6, 7, 8, 9, 11",6
ID0504,"1, 3, 6, 7",4
ID0506,"1, 5, 6",3
ID0508,"1, 2, 3, 4, 6, 7, 8, 10, 11, 12",10
ID0509,"1, 6, 7",3
ID0510,"1, 4",2
ID0511,"1, 4, 8, 12",4
ID0513,"1, 2, 5, 6, 8, 10, 11",7
ID0514,"1, 2, 5, 6, 7",5
ID0517,"1, 2, 3, 5, 9, 11",6
ID0519,"1, 2, 3, 5, 6",5
ID0520,"1, 4, 5, 6",4
ID0521,"1, 2",2
ID0522,"1, 4",2
ID0523,"1, 6",2
ID0524,"1, 2, 3, 9, 11, 12",6
ID0525,"1, 2, 5, 6, 7, 8, 9, 10",8
ID0526,"1, 4, 9",3
ID0528,"1, 5, 6, 7, 8, 10, 11, 12, 13",9
ID0529,"1, 2, 3, 4, 6, 8, 10",7
ID0532,"1, 2, 3, 4, 6, 12, 16, 17",8
ID0533,"1, 6, 8, 9, 10, 11",6
ID0534,"1, 2, 3, 4, 6, 8, 9, 10, 13",9
ID0535,"1, 2, 3, 4, 9, 10, 11, 12, 13",9
ID0536,"3, 4",2
ID0539,"1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12",11
ID0541,"1, 2, 4, 6, 7, 8, 9",7
ID0542,"1, 2, 3, 5, 6, 8",6
ID0543,"1, 3, 5, 6, 8",5
ID0546,"1, 2, 3, 6, 7, 10",6
ID0551,"1, 4, 5, 7, 8",5
ID0552,"1, 2, 4, 5, 6, 7, 8, 9, 10",9
ID0553,"1, 3, 6, 7, 9, 10, 11, 12",8
ID0554,"1, 2, 3, 7",4
ID0555,"1, 3, 11",3
ID0559,"1, 14, 15",3
ID0561,"1, 4, 5, 6, 11, 12, 13",7
ID0564,"1, 5, 6, 7, 8",5
ID0566,"1, 4",2
ID0567,"1, 2, 6, 7",4
ID0568,"1, 2, 3, 5, 6, 8, 9",7
ID0569,"1, 2, 4, 5",4
ID0572,"1, 2, 8, 9",4
ID0574,"2, 3",2
ID0575,"1, 5, 7, 8, 9, 11, 12, 13, 14, 15",10
ID0576,"1, 4, 5, 6",4
ID0577,"1, 2, 3, 5, 6, 7, 8, 9, 11",9
ID0578,"1, 2, 3, 8, 9, 10",6
ID0581,"1, 6, 7",3
ID0584,"1, 4, 5, 6, 7, 8",6
ID0585,"1, 2, 8",3
ID0586,"1, 5, 8, 9, 12, 13, 14, 15",8
ID0587,"1, 2, 3, 4, 5, 6, 7",7
ID0589,"1, 2, 3, 4, 7, 11, 12",7
ID0590,1,1
ID0591,"1, 2, 7, 8, 10",5
ID0592,"1, 2, 3, 4, 7, 9, 10, 11, 12, 13, 14, 15",12
ID0594,"3, 9, 10",2
ID0595,"1, 2",2
ID0596,"10, 11",2
ID0598,"1, 2, 5",3
ID0599,"1, 2, 3, 6, 7, 8, 9",7
ID0600,"1, 2, 4, 5, 9",5
ID0601,8,1
ID0602,"1, 4, 5, 8, 9, 10, 11, 13",8
ID0603,"1, 5, 7, 8",4
ID0604,"2, 3, 4",3
ID0605,"1, 7, 8",3
ID0607,"1, 2, 3, 6, 10, 11, 12",7
ID0609,"1, 4, 5, 6, 10, 11",6
ID0613,"1, 2, 3, 4, 5",5
ID0614,"1, 2, 5",3
ID0616,"1, 3, 4, 5, 6, 7, 8",7
ID0617,"1, 2",2
ID0618,"1, 4, 5, 6",4
ID0619,"1, 2, 3, 4, 6",5
ID0621,"1, 2, 3, 4, 6, 7, 8",7
ID0622,"1, 2, 3, 5, 7, 8",6
ID0623,"1, 2, 3, 4, 9",5
ID0625,"1, 3, 4",3
ID0626,"1, 2",2
ID0627,"1, 4, 5, 6",4
ID0628,"1, 3, 4, 5",4
ID0629,"1, 2, 3, 4, 5, 10, 12, 13, 14, 15, 16",11
ID0631,"1, 2, 3, 9, 12, 13, 14, 17, 18, 19, 20",11
ID0633,"1, 2, 5, 6, 9, 10",6
ID0634,"2, 4",2
ID0635,"1, 2, 4, 7, 8, 9, 10",7
ID0636,"1, 8, 9, 10, 14",5
ID0639,"1, 3, 4, 6",4
ID0641,"1, 4, 5, 7",4
ID0642,"1, 3, 4, 7, 8, 9, 10, 11, 13, 14",10
ID0643,"1, 3, 4, 5, 6",5
ID0647,"1, 6",2
ID0648,"1, 2, 5, 7, 8, 10",6
ID0651,"1, 2, 3, 5, 6",5
ID0652,"1, 3, 4",3
ID0653,"1, 2, 6, 7",4
ID0654,"1, 5, 10",3
ID0655,"1, 3, 7, 8",4
ID0656,"1, 2, 3, 7, 9, 11, 14",7
ID0658,"2, 4",2
ID0659,"1, 2, 6, 7, 8, 9, 10",7
ID0660,"1, 3, 4, 5, 7, 8, 10, 15, 17",9
ID0661,"1, 11, 12",3
ID0662,"1, 2, 5, 9, 10, 11, 12",7
ID0664,"1, 3, 4, 7, 9, 10",6
ID0665,"1, 2, 3, 5",4
ID0668,"1, 5",2
ID0669,"1, 2, 5, 6, 11, 12, 13",7
ID0670,"1, 2, 3, 6, 7, 9, 10, 11, 12, 13",10
ID0671,"1, 4, 5, 6, 7, 8, 9, 10",8
ID0672,"1, 2, 3",3
ID0673,"1, 3, 5, 6, 7, 8, 9",7
ID0675,"1, 2, 3, 5, 6, 7, 9",7
ID0676,"1, 2, 3, 4, 5, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20",16
ID0679,"1, 2, 3, 8, 9, 10, 11",7
ID0680,"1, 2, 3, 4",4
ID0682,"1, 2, 4",3
